Program Name,URL,EO_Count,Determination_Count,License_Count
Afghanistan-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/afghanistan-related-sanctions,1,0,14
Balkans-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/balkans-related-sanctions,1,0,17
Belarus Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/belarus-sanctions,2,0,22
Burma-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/burma,1,1,12
Central African Republic Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/central-african-republic-sanctions,0,0,3
Chinese Military Companies Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/chinese-military-companies-sanctions,0,0,8
Counter Narcotics Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/counter-narcotics-trafficking-sanctions,2,0,14
Counter Narcotics Trafficking Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/counter-narcotics-trafficking-sanctions,2,0,14
Counter Terrorism Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/counter-terrorism-sanctions,1,1,57
Countering America's Adversaries Through Sanctions Act-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/countering-americas-adversaries-through-sanctions-act-related-sanctions,0,0,1
Cuba Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/cuba-sanctions,0,0,3
Cyber-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/sanctions-related-to-significant-malicious-cyber-enabled-activities,2,0,10
Cyber-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/sanctions-related-to-significant-malicious-cyber-enabled-activities,2,0,10
Democratic Republic of the Congo-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/democratic-republic-of-the-congo-related-sanctions,1,0,3
Ethiopia-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/ethiopia,0,0,10
Foreign Interference in a United States Election Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/foreign-interference-in-a-united-states-election-sanctions,0,0,3
Global Magnitsky Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/global-magnitsky-sanctions,1,0,21
Hong Kong-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/hong-kong-related-sanctions,0,0,3
Hostages and Wrongfully Detained U.S. Nationals Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/hostages-and-wrongfully-detained-us-nationals-sanctions,0,0,1
International Criminal Court-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/international-criminal-court-related-sanctions,1,0,8
Iran Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/iran-sanctions,9,3,46
Iraq-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/iraq-related-sanctions,4,1,13
Lebanon-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/lebanon-related-sanctions,1,0,4
Libya Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/libya-sanctions,1,0,12
List of Country-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/where-is-ofacs-country-list-what-countries-do-i-need-to-worry-about-in-terms-of-us-sanctions,0,0,1
Magnitsky Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/the-magnitsky-sanctions,0,0,4
Mali-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/mali-related-sanctions,0,0,3
Nicaragua-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/nicaragua-related-sanctions,0,0,12
Non-Proliferation Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/non-proliferation-sanctions,3,0,24
North Korea Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/north-korea-sanctions,1,1,7
Promoting Accountability for Assad and Regional Stabilization Sanctions (PAARSS),https://ofac.treasury.gov/sanctions-programs-and-country-information/paarss,7,0,11
Rough Diamond Trade Controls,https://ofac.treasury.gov/sanctions-programs-and-country-information/rough-diamond-trade-controls,2,0,1
Russia-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/russia-related-sanctions,0,0,1
Russian Harmful Foreign Activities Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/russian-harmful-foreign-activities-sanctions,6,30,105
Somalia Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/somalia-sanctions,1,0,3
South Sudan-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/south-sudan-related-sanctions,1,0,3
Sudan and Darfur Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/sudan-and-darfur-sanctions,10,2,18
Transnational Criminal Organizations,https://ofac.treasury.gov/sanctions-programs-and-country-information/transnational-criminal-organizations,0,0,2
Ukraine-/Russia-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/ukraine-russia-related-sanctions,5,2,29
Venezuela-Related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/venezuela-related-sanctions,2,3,76
Venezuela-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/venezuela-related-sanctions,2,3,76
Where is OFAC's country list?​,https://ofac.treasury.gov/sanctions-programs-and-country-information/where-is-ofacs-country-list-what-countries-do-i-need-to-worry-about-in-terms-of-us-sanctions,0,0,1
Yemen-related Sanctions,https://ofac.treasury.gov/sanctions-programs-and-country-information/yemen-related-sanctions,0,0,4
